-597.797	0.095	11636337cytbx_znh13_0206
-597.780	0.093	11636330cytbx_znh6_0409
-597.774	0.069	11636325cytbx_znh1_0410
-597.774	0.106	11636338cytbx_znh14_0431
-597.769	0.081	11636340cytbx_znh16_0403
-597.759	0.094	11636343cytbx_znh19_0399
-597.745	0.084	11636340cytbx_znh16_0124
-597.743	0.088	11636342cytbx_znh18_0057
-597.739	0.086	11636332cytbx_znh8_0224
-597.732	0.088	11636334cytbx_znh10_0071
-597.673	0.092	11636330cytbx_znh6_0485
-597.644	0.095	11636336cytbx_znh12_0093
-597.640	0.097	11636333cytbx_znh9_0204
-597.629	0.100	11636331cytbx_znh7_0301
-597.609	0.089	11636336cytbx_znh12_0112
-597.602	0.092	11636341cytbx_znh17_0091
-597.601	0.093	11636330cytbx_znh6_0005
-597.564	0.089	11636343cytbx_znh19_0042
-597.542	0.086	11636328cytbx_znh4_0130
-597.537	0.081	11636339cytbx_znh15_0388
-597.536	0.099	11636340cytbx_znh16_0486
-597.511	0.095	11636341cytbx_znh17_0353
-597.449	0.087	11636341cytbx_znh17_0280
-597.439	0.084	11636328cytbx_znh4_0292
-597.408	0.090	11636328cytbx_znh4_0487
-597.394	0.087	11636328cytbx_znh4_0256
-597.385	0.095	11636339cytbx_znh15_0500
-597.344	0.082	11636334cytbx_znh10_0433
-597.336	0.085	11636330cytbx_znh6_0334
-597.322	0.097	11636331cytbx_znh7_0196
-597.302	0.092	11636339cytbx_znh15_0087
-597.293	0.091	11636317cytbx_znh20_0492
-597.289	0.094	11636340cytbx_znh16_0474
-597.270	0.093	11636325cytbx_znh1_0095
-597.268	0.083	11636333cytbx_znh9_0256
-597.267	0.092	11636331cytbx_znh7_0017
-597.220	0.087	11636328cytbx_znh4_0378
-597.217	0.088	11636336cytbx_znh12_0420
-597.202	0.077	11636332cytbx_znh8_0125
-597.157	0.099	11636332cytbx_znh8_0091
-597.118	0.083	11636333cytbx_znh9_0005
-597.113	0.094	11636334cytbx_znh10_0132
-597.082	0.093	11636339cytbx_znh15_0316
-597.074	0.095	11636317cytbx_znh20_0316
-597.071	0.083	11636317cytbx_znh20_0443
-597.044	0.098	11636336cytbx_znh12_0083
-597.037	0.083	11636336cytbx_znh12_0352
-597.033	0.092	11636325cytbx_znh1_0295
-597.027	0.084	11636326cytbx_znh2_0180
-597.024	0.081	11636334cytbx_znh10_0141
-597.020	0.086	11636332cytbx_znh8_0196
-597.018	0.090	11636328cytbx_znh4_0039
-597.012	0.097	11636337cytbx_znh13_0038
-597.012	0.102	11636332cytbx_znh8_0047
-596.955	0.086	11636330cytbx_znh6_0429
-596.948	0.085	11636337cytbx_znh13_0170
-596.945	0.093	11636337cytbx_znh13_0064
-596.927	0.077	11636341cytbx_znh17_0401
-596.914	0.095	11636336cytbx_znh12_0366
-596.909	0.092	11636333cytbx_znh9_0076
-596.895	0.082	11636336cytbx_znh12_0162
-596.860	0.090	11636328cytbx_znh4_0286
-596.811	0.087	11636333cytbx_znh9_0315
-596.806	0.090	11636317cytbx_znh20_0138
-596.805	0.091	11636336cytbx_znh12_0125
-596.800	0.096	11636330cytbx_znh6_0172
-596.789	0.090	11636325cytbx_znh1_0314
-596.787	0.076	11636338cytbx_znh14_0012
-596.782	0.092	11636328cytbx_znh4_0339
-596.762	0.093	11636342cytbx_znh18_0135
-596.761	0.084	11636342cytbx_znh18_0403
-596.751	0.101	11636326cytbx_znh2_0465
-596.748	0.106	11636326cytbx_znh2_0268
-596.740	0.097	11636339cytbx_znh15_0281
-596.739	0.095	11636328cytbx_znh4_0116
-596.731	0.095	11636336cytbx_znh12_0404
-596.727	0.091	11636337cytbx_znh13_0381
-596.720	0.085	11636330cytbx_znh6_0039
-596.718	0.093	11636341cytbx_znh17_0067
-596.703	0.092	11636330cytbx_znh6_0310
-596.698	0.087	11636325cytbx_znh1_0209
-596.685	0.080	11636336cytbx_znh12_0432
-596.685	0.095	11636332cytbx_znh8_0416
-596.679	0.083	11636331cytbx_znh7_0060
-596.671	0.094	11636342cytbx_znh18_0339
-596.662	0.084	11636333cytbx_znh9_0057
-596.658	0.076	11636342cytbx_znh18_0200
-596.657	0.101	11636326cytbx_znh2_0432
-596.653	0.090	11636337cytbx_znh13_0234
-596.643	0.084	11636330cytbx_znh6_0467
-596.605	0.084	11636334cytbx_znh10_0325
-596.603	0.074	11636325cytbx_znh1_0445
-596.571	0.081	11636341cytbx_znh17_0144
-596.571	0.083	11636317cytbx_znh20_0105
-596.561	0.084	11636339cytbx_znh15_0328
-596.551	0.097	11636328cytbx_znh4_0399
-596.542	0.097	11636325cytbx_znh1_0375
-596.533	0.091	11636326cytbx_znh2_0237
-596.529	0.086	11636342cytbx_znh18_0038
-596.518	0.107	11636325cytbx_znh1_0112
-596.507	0.089	11636337cytbx_znh13_0482
