-582.521	0.091	11720721cytbx_bcl13_0333
-582.511	0.083	11720708cytbx_bcl2_0434
-582.437	0.094	11720709cytbx_bcl3_0377
-582.431	0.096	11720716cytbx_bcl10_0291
-582.429	0.112	11720710cytbx_bcl4_0051
-582.425	0.105	11720715cytbx_bcl9_0111
-582.400	0.072	11720719cytbx_bcl11_0199
-582.393	0.091	11720727cytbx_bcl19_0130
-582.358	0.104	11720723cytbx_bcl15_0379
-582.355	0.106	11720722cytbx_bcl14_0269
-582.348	0.094	11720714cytbx_bcl8_0465
-582.339	0.097	11720720cytbx_bcl12_0035
-582.326	0.083	11720723cytbx_bcl15_0213
-582.323	0.102	11720712cytbx_bcl6_0294
-582.318	0.093	11720714cytbx_bcl8_0415
-582.300	0.107	11720724cytbx_bcl16_0277
-582.282	0.080	11720724cytbx_bcl16_0347
-582.279	0.105	11720716cytbx_bcl10_0035
-582.224	0.114	11720710cytbx_bcl4_0346
-582.199	0.108	11720715cytbx_bcl9_0308
-582.170	0.109	11720715cytbx_bcl9_0124
-582.164	0.111	11720709cytbx_bcl3_0237
-582.163	0.074	11720713cytbx_bcl7_0079
-582.121	0.095	11720725cytbx_bcl17_0249
-582.118	0.086	11720712cytbx_bcl6_0205
-582.116	0.089	11720720cytbx_bcl12_0044
-582.101	0.083	11720726cytbx_bcl18_0289
-582.086	0.060	11720702cytbx_bcl20_0292
-582.072	0.104	11720713cytbx_bcl7_0314
-582.059	0.107	11720702cytbx_bcl20_0337
-582.057	0.088	11720707cytbx_bcl1_0048
-582.045	0.090	11720721cytbx_bcl13_0443
-582.041	0.110	11720714cytbx_bcl8_0475
-582.008	0.058	11720708cytbx_bcl2_0292
-582.001	0.091	11720724cytbx_bcl16_0164
-582.000	0.092	11720725cytbx_bcl17_0199
-581.982	0.105	11720719cytbx_bcl11_0144
-581.982	0.111	11720719cytbx_bcl11_0455
-581.911	0.107	11720720cytbx_bcl12_0404
-581.907	0.112	11720725cytbx_bcl17_0133
-581.901	0.113	11720722cytbx_bcl14_0327
-581.899	0.094	11720711cytbx_bcl5_0054
-581.896	0.098	11720727cytbx_bcl19_0118
-581.878	0.090	11720710cytbx_bcl4_0295
-581.856	0.119	11720721cytbx_bcl13_0458
-581.854	0.099	11720726cytbx_bcl18_0207
-581.839	0.089	11720712cytbx_bcl6_0284
-581.825	0.098	11720702cytbx_bcl20_0275
-581.785	0.095	11720715cytbx_bcl9_0195
-581.783	0.089	11720702cytbx_bcl20_0342
-581.779	0.140	11720719cytbx_bcl11_0440
-581.774	0.096	11720720cytbx_bcl12_0172
-581.772	0.117	11720720cytbx_bcl12_0367
-581.771	0.091	11720720cytbx_bcl12_0006
-581.766	0.075	11720710cytbx_bcl4_0344
-581.752	0.106	11720702cytbx_bcl20_0303
-581.749	0.097	11720723cytbx_bcl15_0364
-581.722	0.109	11720716cytbx_bcl10_0142
-581.697	0.090	11720707cytbx_bcl1_0114
-581.687	0.098	11720714cytbx_bcl8_0450
-581.687	0.089	11720715cytbx_bcl9_0206
-581.682	0.078	11720709cytbx_bcl3_0489
-581.679	0.081	11720719cytbx_bcl11_0410
-581.671	0.088	11720702cytbx_bcl20_0331
-581.650	0.100	11720713cytbx_bcl7_0112
-581.634	0.099	11720710cytbx_bcl4_0027
-581.628	0.098	11720709cytbx_bcl3_0221
-581.608	0.093	11720714cytbx_bcl8_0163
-581.602	0.154	11720716cytbx_bcl10_0131
-581.586	0.089	11720724cytbx_bcl16_0397
-581.583	0.086	11720713cytbx_bcl7_0246
-581.575	0.115	11720709cytbx_bcl3_0496
-581.574	0.079	11720702cytbx_bcl20_0285
-581.570	0.112	11720702cytbx_bcl20_0404
-581.560	0.110	11720702cytbx_bcl20_0470
-581.545	0.103	11720719cytbx_bcl11_0001
-581.507	0.103	11720721cytbx_bcl13_0410
-581.492	0.091	11720726cytbx_bcl18_0223
-581.482	0.104	11720708cytbx_bcl2_0443
-581.476	0.086	11720712cytbx_bcl6_0363
-581.476	0.107	11720707cytbx_bcl1_0043
-581.470	0.075	11720719cytbx_bcl11_0423
-581.464	0.100	11720722cytbx_bcl14_0003
-581.425	0.085	11720727cytbx_bcl19_0417
-581.403	0.100	11720710cytbx_bcl4_0361
-581.393	0.077	11720724cytbx_bcl16_0274
-581.361	0.084	11720725cytbx_bcl17_0207
-581.350	0.111	11720727cytbx_bcl19_0002
-581.344	0.085	11720710cytbx_bcl4_0078
-581.304	0.109	11720708cytbx_bcl2_0045
-581.303	0.104	11720724cytbx_bcl16_0470
-581.299	0.087	11720715cytbx_bcl9_0038
-581.277	0.095	11720724cytbx_bcl16_0302
-581.273	0.112	11720722cytbx_bcl14_0452
-581.261	0.094	11720702cytbx_bcl20_0045
-581.240	0.072	11720720cytbx_bcl12_0287
-581.237	0.109	11720724cytbx_bcl16_0009
-581.225	0.118	11720716cytbx_bcl10_0424
-581.201	0.077	11720716cytbx_bcl10_0230
-581.189	0.092	11720702cytbx_bcl20_0160
-581.184	0.103	11720702cytbx_bcl20_0240
-581.168	0.110	11720724cytbx_bcl16_0335
-581.166	0.100	11720723cytbx_bcl15_0407
-581.160	0.088	11720711cytbx_bcl5_0155
-581.150	0.087	11720724cytbx_bcl16_0135
-581.145	0.091	11720715cytbx_bcl9_0205
-581.139	0.098	11720711cytbx_bcl5_0211
-581.136	0.096	11720724cytbx_bcl16_0243
-581.120	0.075	11720722cytbx_bcl14_0402
-581.108	0.085	11720712cytbx_bcl6_0039
-581.102	0.065	11720722cytbx_bcl14_0163
-581.095	0.103	11720707cytbx_bcl1_0454
-581.094	0.090	11720713cytbx_bcl7_0390
-581.081	0.100	11720711cytbx_bcl5_0049
-581.074	0.078	11720707cytbx_bcl1_0499
-581.059	0.066	11720712cytbx_bcl6_0048
-581.052	0.077	11720713cytbx_bcl7_0127
-581.047	0.075	11720713cytbx_bcl7_0208
-581.044	0.097	11720702cytbx_bcl20_0157
-581.039	0.084	11720720cytbx_bcl12_0155
-581.039	0.085	11720711cytbx_bcl5_0140
-581.031	0.094	11720702cytbx_bcl20_0246
-581.021	0.112	11720715cytbx_bcl9_0268
-581.019	0.094	11720707cytbx_bcl1_0163
-580.962	0.096	11720720cytbx_bcl12_0450
-580.955	0.069	11720710cytbx_bcl4_0031
-580.949	0.096	11720716cytbx_bcl10_0220
-580.926	0.096	11720713cytbx_bcl7_0128
-580.921	0.110	11720711cytbx_bcl5_0255
-580.915	0.101	11720710cytbx_bcl4_0317
-580.901	0.071	11720721cytbx_bcl13_0250
-580.887	0.111	11720716cytbx_bcl10_0063
-580.866	0.089	11720719cytbx_bcl11_0207
-580.846	0.103	11720707cytbx_bcl1_0491
-580.831	0.079	11720726cytbx_bcl18_0165
-580.826	0.074	11720716cytbx_bcl10_0235
-580.826	0.089	11720720cytbx_bcl12_0374
-580.797	0.104	11720711cytbx_bcl5_0472
-580.779	0.099	11720707cytbx_bcl1_0161
-580.747	0.104	11720709cytbx_bcl3_0372
-580.712	0.087	11720711cytbx_bcl5_0162
-580.703	0.108	11720726cytbx_bcl18_0102
-580.701	0.093	11720714cytbx_bcl8_0328
-580.669	0.106	11720711cytbx_bcl5_0308
-580.656	0.077	11720719cytbx_bcl11_0094
-580.645	0.102	11720715cytbx_bcl9_0119
-580.640	0.107	11720724cytbx_bcl16_0023
-580.606	0.076	11720725cytbx_bcl17_0343
-580.546	0.105	11720722cytbx_bcl14_0252
